distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.686824138662018, 0]",8,7.313175861337982,1711822860.5917535,1711822860.5907505,0.0010030269622802734
"[0.690271496745785, 0]",8,7.309728503254215,1711822860.9462714,1711822860.9452715,0.0009999275207519531
"[0.6855283462262622, 0]",8,7.3144716537737375,1711822861.0995824,1711822861.0985916,0.0009908676147460938
"[0.6895591525820965, 0]",8,7.310440847417904,1711822861.2364345,1711822861.2354174,0.0010170936584472656
"[0.6817376325088688, 0]",8,7.318262367491132,1711822861.3768454,1711822861.3768454,0.0
"[0.6874516158889129, 0]",8,7.312548384111087,1711822861.520994,1711822861.520994,0.0
"[0.6862986486258618, 0]",8,7.313701351374139,1711822861.6780834,1711822861.6780834,0.0
"[0.6899369739280012, 0]",8,7.310063026071999,1711822861.8321521,1711822861.8310332,0.0011188983917236328
"[0.6845607261710211, 0]",8,7.315439273828979,1711822862.067195,1711822862.0657618,0.0014331340789794922
"[0.6887301214449394, 0]",8,7.311269878555061,1711822862.2699602,1711822862.268956,0.0010042190551757812
"[0.6906637714032537, 0]",8,7.309336228596746,1711822862.487691,1711822862.48668,0.001010894775390625
"[0.6886566850862844, 0]",8,7.3113433149137155,1711822862.6758478,1711822862.6748219,0.0010259151458740234
"[0.6858465514160328, 0]",8,7.314153448583967,1711822862.8182049,1711822862.817198,0.0010068416595458984
"[0.6848397519299059, 0]",8,7.315160248070094,1711822862.9606194,1711822862.9595878,0.001031637191772461
"[0.7027262595462594, 0]",8,7.297273740453741,1711822863.161108,1711822863.1590738,0.0020341873168945312
"[0.681512929631086, 0]",8,7.3184870703689135,1711822863.3135183,1711822863.3135183,0.0
"[0.6825198045253625, 0]",8,7.317480195474637,1711822863.5535445,1711822863.551544,0.002000570297241211
"[0.6866251113183067, 0]",8,7.313374888681693,1711822863.8044717,1711822863.8034694,0.0010023117065429688
"[0.6822638583362393, 0]",8,7.317736141663761,1711822864.0031774,1711822864.0020022,0.0011751651763916016
"[0.6839804534699596, 0]",8,7.316019546530041,1711822864.299026,1711822864.297778,0.0012481212615966797
"[0.6833116367523834, 0]",8,7.316688363247617,1711822864.4932265,1711822864.4922316,0.0009949207305908203
"[0.6866375654425498, 0]",8,7.31336243455745,1711822864.6419444,1711822864.6408973,0.0010471343994140625
"[0.6910930088881738, 0]",8,7.308906991111826,1711822864.784013,1711822864.7829983,0.00101470947265625
"[0.6843423537580237, 0]",8,7.315657646241976,1711822864.9466224,1711822864.9466224,0.0
"[0.6875719733590013, 0]",8,7.3124280266409984,1711822865.0771582,1711822865.0751505,0.002007722854614258
"[0.6830025349846198, 0]",8,7.31699746501538,1711822865.2350597,1711822865.2340748,0.0009849071502685547
"[0.6872962246158629, 0]",8,7.312703775384137,1711822865.4253037,1711822865.4242952,0.0010085105895996094
"[0.6865099360699581, 0]",8,7.3134900639300415,1711822865.5565274,1711822865.555535,0.0009922981262207031
"[0.6876310767806646, 0]",8,7.312368923219335,1711822865.7618642,1711822865.760864,0.0010001659393310547
"[0.6847198958940763, 0]",8,7.315280104105923,1711822865.8949468,1711822865.8929656,0.0019812583923339844
"[0.6854572678666406, 0]",8,7.31454273213336,1711822866.0369215,1711822866.0349221,0.001999378204345703
"[0.6809983073160156, 0]",8,7.319001692683984,1711822866.1753237,1711822866.1753237,0.0
"[0.6816525373309652, 0]",8,7.318347462669035,1711822866.3839605,1711822866.3829558,0.0010046958923339844
